Date,Open,High,Low,Close,Volume
2010-01-04,57.58,58.918,56.976,56.976,2156
2010-01-05,57.915,57.915,56.574,56.574,452
2010-01-06,57.915,57.915,57.245,57.915,295
2010-01-07,57.915,57.915,55.972,57.881,15
2010-01-08,57.915,57.915,56.106,57.847,330
2010-01-11,58.885,58.885,55.972,57.245,633
2010-01-12,57.211,57.211,56.006,56.006,60
2010-01-13,56.909,58.885,56.306,58.885,1293
2010-01-14,58.885,58.918,57.915,58.583,385
2010-01-15,58.918,58.918,57.58,58.583,389
2010-01-18,58.851,58.851,58.248,58.851,601
2010-01-19,58.851,58.918,58.248,58.583,1623
2010-01-20,58.918,58.918,57.58,57.58,786
2010-01-21,56.441,58.851,56.441,56.474,281
2010-01-22,56.441,57.545,56.241,57.545,173
2010-01-25,57.779,58.885,57.779,57.779,373
2010-01-26,58.851,58.851,56.039,57.779,439
2010-01-27,57.779,57.779,57.779,57.779,66
2010-01-28,57.779,58.851,57.779,58.751,449
2010-01-29,57.58,58.885,57.58,58.885,529
2010-02-01,57.378,58.885,57.378,58.885,540
2010-02-02,58.248,58.248,56.909,56.909,650
2010-02-03,56.909,57.915,56.909,57.58,32
2010-02-04,57.58,57.58,54.232,54.232,1475
2010-02-05,54.232,54.232,51.955,53.829,287
2010-02-08,53.829,53.864,52.893,53.864,28
2010-02-09,53.864,53.864,52.29,52.29,4
2010-02-10,53.562,53.562,48.54,48.54,2304
2010-02-11,50.214,50.348,48.742,48.875,292
2010-02-12,48.675,51.989,48.675,51.184,365
2010-02-15,52.156,52.156,48.54,48.841,193434
2010-02-16,50.181,50.181,48.875,49.981,187
2010-02-17,50.013,52.089,49.981,52.089,62
2010-02-18,51.922,51.922,51.419,51.419,207
2010-02-19,51.352,51.419,49.21,51.352,551
2010-02-22,51.419,52.558,51.419,52.558,405
2010-02-23,52.558,52.558,51.017,52.558,8
2010-02-24,52.558,52.558,50.549,51.888,102
2010-02-25,51.888,52.424,51.888,52.424,225
2010-02-26,52.223,52.223,50.214,51.855,255
2010-03-01,51.888,53.428,51.888,53.428,372
2010-03-02,53.361,54.868,52.993,54.834,475
2010-03-03,53.729,53.829,52.893,52.893,606
2010-03-04,54.599,54.599,54.599,54.599,61
2010-03-05,54.198,54.198,52.893,53.964,44
2010-03-08,53.629,53.629,51.955,53.428,741
2010-03-09,53.997,53.997,52.055,53.662,152
2010-03-10,52.424,53.897,52.055,53.529,1237
2010-03-11,53.897,53.897,52.424,53.562,289
2010-03-12,53.864,53.864,52.223,53.394,626
2010-03-15,51.285,53.294,50.717,52.825,828
2010-03-16,52.959,52.959,51.253,52.726,164
2010-03-17,52.223,52.223,50.214,51.888,920
2010-03-18,50.683,51.755,50.683,51.554,445
2010-03-19,51.554,51.554,50.248,50.884,229
2010-03-22,51.486,51.486,50.884,50.884,399
2010-03-23,49.779,51.82,49.779,51.62,93
2010-03-24,51.586,51.586,51.453,51.453,2
2010-03-25,51.62,51.62,51.085,51.519,171
2010-03-26,51.654,51.654,50.214,51.554,36
2010-03-29,50.214,52.223,50.214,52.223,1258
2010-03-30,52.759,54.164,51.319,53.294,229
2010-03-31,53.228,53.228,51.654,53.193,647
2010-04-01,53.228,53.228,51.955,52.223,158
2010-04-06,51.72,52.759,50.348,52.726,16030
2010-04-07,52.791,52.825,51.017,51.184,428
