Date,Open,High,Low,Close,Volume
2019-02-14,2.85,2.85,1.82,2.38,572183
2019-02-15,2.5,3.34,2.5,2.73,495926
2019-02-18,2.69,2.69,1.92,2.07,480943
2019-02-19,2.19,2.19,1.82,1.83,175358
2019-02-20,1.8,2,1.76,1.92,211600
2019-02-21,1.86,1.92,1.84,1.9,35575
2019-02-22,1.9,1.98,1.78,1.86,123766
2019-02-25,1.79,1.85,1.7,1.72,228942
2019-02-26,1.7,1.8,1.7,1.79,129773
2019-02-27,1.79,1.83,1.7,1.75,109808
2019-02-28,1.75,1.79,1.71,1.78,67876
2019-03-01,1.78,1.96,1.73,1.87,89273
2019-03-04,1.87,2.19,1.85,2.07,227747
2019-03-05,2.06,2.49,2.02,2.38,339625
2019-03-06,2.42,2.78,2.42,2.78,244413
2019-03-07,2.8,2.84,2.5,2.55,137400
2019-03-08,2.6,2.6,2.28,2.55,57274
2019-03-11,2.549,2.55,2.3,2.4,108576
2019-03-12,2.399,2.438,2.205,2.28,124512
2019-03-13,2.283,2.43,2.2,2.4,89127
2019-03-14,2.4,2.48,2.31,2.37,85585
2019-03-15,2.4,2.52,2.25,2.43,172320
2019-03-18,2.45,2.56,2.215,2.31,209290
2019-03-19,2.3,2.37,2.3,2.37,99095
2019-03-20,2.37,2.44,2.35,2.42,20598
2019-03-21,2.49,2.49,2.35,2.43,28307
2019-03-22,2.469,2.52,2.4,2.5,93769
2019-03-25,2.5,2.52,2.4,2.46,27291
2019-03-26,2.465,2.465,2.395,2.44,24533
2019-03-27,2.44,2.44,2.31,2.38,40578
2019-03-28,2.41,2.45,2.3,2.45,43439
2019-03-29,2.38,2.498,2.38,2.45,31750
2019-04-01,2.479,2.6,2.451,2.58,74284
2019-04-02,2.59,2.78,2.538,2.54,195929
2019-04-03,2.65,2.678,2.48,2.56,257427
2019-04-04,2.608,2.68,2.57,2.59,59417
2019-04-05,2.7,2.86,2.6,2.84,107530
2019-04-08,2.83,2.93,2.714,2.92,133320
2019-04-09,2.9,2.9,2.805,2.81,210286
2019-04-10,2.82,2.87,2.79,2.79,22091
2019-04-11,2.84,2.84,2.72,2.72,174102
2019-04-12,2.71,2.85,2.51,2.8,301321
2019-04-15,2.79,2.8,2.657,2.8,5825
2019-04-16,2.8,2.8,2.65,2.8,20827
2019-04-17,2.7,2.8,2.624,2.8,36346
2019-04-18,2.75,2.789,2.668,2.79,14228
2019-04-23,2.7,2.7845,2.7,2.78,12480
2019-04-24,2.684,2.77,2.65,2.77,45840
2019-04-25,2.746,2.77,2.68,2.77,30352
2019-04-26,2.7,2.759,2.68,2.74,129472
2019-04-29,2.7,2.75,2.66,2.75,74421
2019-04-30,2.7,2.762,2.67,2.76,28575
2019-05-02,2.764,2.78,2.682,2.78,21856
2019-05-06,2.764,2.78,2.69,2.75,36875
2019-05-07,2.71,2.72,2.6,2.69,50878
2019-05-08,2.69,2.69,2.63,2.67,10567
2019-05-09,2.62,2.69,2.605,2.61,13905
2019-05-10,2.52,2.59,2.22,2.58,75586
2019-05-13,2.677,2.677,2.44,2.55,31846
2019-05-14,2.476,2.5,2.4,2.49,50165
2019-05-15,2.365,2.488,2.3,2.43,53887
2019-05-16,2.4305,2.4305,2.28,2.4,51452
2019-05-17,2.4,2.5,2.38,2.44,22686
2019-05-20,2.49,2.5,2.42,2.47,20805
2019-05-21,2.5,2.5,2.4,2.44,40225
2019-05-22,2.44,2.44,2.323,2.4,11073
2019-05-23,2.33,2.44,2.23,2.44,15950
2019-05-24,2.4,2.43,2.36,2.43,3800
2019-05-27,2.37,2.4,2.3,2.35,18855
2019-05-28,2.35,2.389,2.31,2.39,6909
2019-05-29,2.34,2.399,2.27,2.4,15191
2019-05-30,2.31,2.377,2.3,2.38,6937
2019-05-31,2.35,2.73,2.32,2.73,53222
2019-06-03,2.68,2.68,2.46,2.46,13056
2019-06-04,2.401,2.59,2.36,2.59,17109
2019-06-05,2.57,2.67,2.48,2.48,19523
2019-06-06,2.451,2.488,2.36,2.4,7382
2019-06-07,2.488,2.54,2.4,2.54,10848
2019-06-10,2.48,2.498,2.162,2.4,33550
2019-06-11,2.28,2.4,2.28,2.39,8110
2019-06-12,2.39,2.44,2.31,2.37,1810
2019-06-13,2.367,2.408,2.303,2.4,6074
2019-06-14,2.31,2.398,2.31,2.39,1982
2019-06-17,2.449,2.449,2.304,2.36,17121
2019-06-18,2.32,2.35,2.28,2.35,9166
2019-06-19,2.285,2.36,2.26,2.36,11026
2019-06-21,2.26,2.36,2.26,2.36,13368
2019-06-24,2.4,2.4,2.27,2.37,5825
2019-06-25,2.37,2.37,2.3,2.37,8212
2019-06-26,2.312,2.312,2.25,2.29,24965
2019-06-27,2.3,2.3,2.2,2.24,15473
2019-06-28,2.29,2.37,2.25,2.33,36908
2019-07-01,2.39,2.448,2.378,2.43,37207
2019-07-02,2.428,2.428,2.39,2.41,2939
2019-07-03,2.41,2.41,2.39,2.39,5900
2019-07-04,2.4,2.4,2.27,2.38,5012
2019-07-05,2.311,2.41,2.311,2.41,4800
2019-07-08,2.4,2.4,2.35,2.4,7714
2019-07-09,2.4,2.47,2.4,2.46,16571
2019-07-10,2.414,2.548,2.414,2.53,28805
2019-07-11,2.548,2.55,2.45,2.49,10420
2019-07-12,2.41,2.46,2.39,2.44,10893
2019-07-15,2.41,2.46,2.35,2.42,6343
2019-07-16,2.42,2.45,2.38,2.42,5939
2019-07-17,2.42,2.42,2.36,2.42,9000
2019-07-18,2.44,2.44,2.38,2.44,4600
2019-07-19,2.43,2.44,2.4,2.43,5530
2019-07-22,2.43,2.43,2.4,2.4,2648
2019-07-23,2.43,2.43,2.361,2.4,4292
2019-07-24,2.42,2.42,2.3,2.39,28670
2019-07-25,2.37,2.43,2.323,2.43,19541
2019-07-26,2.43,2.43,2.35,2.43,10887
2019-07-29,2.43,2.7,2.43,2.646,56684
2019-07-30,2.646,2.895,2.6,2.85,124669
2019-07-31,2.85,2.85,2.7,2.77,42706
2019-08-01,2.75,2.81,2.62,2.65,116340
2019-08-02,2.68,2.7,2.6,2.666,25856
